           sv         cb
          1.05   1060.84692138
           1.1   1064.77717388
          1.15   1067.78673119
           1.2   1069.97476354
          1.25   1071.42857143
           1.3   1072.22525762
          1.35   1072.43312302
           1.4   1072.11283896
          1.45   1071.31843739
           1.5   1070.09815137
          1.55   1068.49513205
           1.6   1066.54806288
          1.65   1064.29168809
           1.7   1061.75726893
          1.75   1058.97297921
           1.8   1055.96424923
          1.85   1052.75406573
           1.9   1049.36323446
          1.95   1045.81061049
