set PRODUCTS := A B C D E F G H HH HHH ;
set STAGES := 1 2 3 4 5 6 7 8 9 10 ;
set PARALLELUNITS := 1 2 3 4 5 6 ;

param HorizonTime := 6000 ;
param Alpha1 := 250 ;
param Alpha2 := 150 ;
param Beta1 := 0.6 ;
param Beta2 := 0.5 ;

param ProductionAmount :=
      A    250000
      B	   150000
      C	   180000
      D	   160000
      E	   120000
      F	   130000
      G	   190000
      H	   140000
      HH   175000
      HHH  125000
;

param ProductSizeFactor :
              1         2         3         4         5         6         7        8        9       10 :=
    A         2.9       2.        5.2       4.9       6.1       4.2       5.0      1.1      3.2     4.5
    B         0.8       0.8       0.9       3.4       2.1       2.5       0.9      2.2      1.4     2.2
    C         0.7       2.6       1.6       3.6       3.2       2.9       3.6      4.0      4.3     0.6
    D         4.7       2.3       1.6       2.7       1.2       2.5       3.9      0.6      3.1     5.8
    E         1.2       3.6       2.4       4.5       1.6       2.1       0.9      4.2      2.1     4.1
    F         3.1       2.5       4.5       1.3       3.3       4.1       1.4      1.0      3.5     0.7
    G         1.0       2.2       0.7       4.2       2.8       2.3       5.2      1.9      2.6     1.1
    H         2.5       1.1       5.3       2.6       3.7       4.0       2.2      3.3      2.7     3.4
   HH         2.4       2.5       2.7       3.2       2.3       1.7       5.2      4.7      2.6     1.4
  HHH         2.7       3.3       4.4       2.6       3.7       0.5       2.7      6.2      3.2     3.4
;

param ProcessingTime :
              1         2         3         4         5         6         7        8        9       10 :=
    A         6.4       4.7       1.3       3.9       2.1       1.6       3.2      3.1      4.2     5.2
    B         3.8       6.4       6.5       4.4       2.3       3.2       5.2      2.5      4.4     1.1
    C         1.0       6.3       3.4       4.9       2.7       6.2       3.1      1.2      2.3     5.1
    D         3.2       3.0       3.5       3.3       2.8       3.4       4.2      2.9      6.2     2.2
    E         2.1       2.5       4.2       3.6       3.7       2.2       5.1      0.4      4.1     1.3
    F         3.5       4.1       0.9       1.4       3.6       2.7       2.9      3.7      0.8     1.5
    G         4.1       6.7       2.2       1.4       0.7       4.7       1.3      0.6      3.2     2.1
    H         5.3       3.1       2.8       1.5       3.2       6.1       0.5      3.9      2.7     4.1
   HH         2.6       5.2       3.2       3.4       4.4       1.1       7.1      2.5      3.1     0.9
  HHH         1.7       5.2       3.7       2.6       5.2       2.6       5.1      8.2      1.1     2.9
;


