# data file for b-pn2.mod (set SS = {18,20,22,24,26,28,30,32})

param:      q,       Qm     :=
    1       5.4400   13.6000
    2      23.0800   22.7000
    3      30.8000   32.0000
    4      37.5400   41.6000
    5      47.0400   46.6000
    6      56.5000   57.0000
    7      66.7000   63.0000
    8      71.2200   76.8000
    9      80.4000   87.0000
   10      90.7000   92.0000
   11     100.4800  102.2000
   12     103.4000  106.0000
   13     110.2800  116.7000
   14     115.5000  124.5000
   15     120.9200  132.8000
   16     128.8800  142.7000
   17     132.5400  153.1000
   18     140.5600  161.9000
   19     149.5800  170.7000
   20     158.7000  179.0000
   21     166.9000  187.0000
   22     173.6800  195.7000
   23     185.1000  197.0000
   24     190.8000  198.0000
   25     205.5000  196.0000
   26     215.6000  191.0000
   27     224.7200  185.3000
   28     236.4600  174.4000
   29     253.3400  154.1000
   30     272.4600  134.4000
   31     285.4200  119.3000
   32     299.8800  104.7000
   33     306.9400  101.6000
   34     317.8000   94.0000
   35     330.8000   84.0000
   36     347.3000   74.0000
   37     362.8000   62.0000
   38     376.6200   53.3000
   39     387.0000   46.0000
   40     399.1200   39.3000
   41     405.6800   35.7000
   42     415.8000   31.0000
   43     425.9000   25.0000
   44     432.1800   24.7000
   45     441.0400   20.6000
   46     452.5000   18.0000
   47     462.7200   12.3000
   48     475.2800   11.2000;

param Z:         1                         2                         3 :=
 1    -6.167202352968927e+003    7.712121679636250e+003   -1.926267030877588e+003
 2     1.894257908670191e+003   -5.230295050036612e+003    2.485173666396199e+003
 3    -7.838811509806817e+002    4.835737740172616e+003   -8.560088254778084e+003
 4     3.574542398165781e+001    2.689589669412163e+002    2.281300755800128e+003
 5    -7.506910648546653e+001    5.204281362475892e+002   -7.923187972530844e+002
 6    -1.701195246528171e+001    1.195913361740372e+002    1.927464630170760e+002
 7    -1.870044522368542e+001    1.040234081666426e+002    2.886542178360833e+000
 8    -1.448994424790797e+001    5.504743693104648e+001    5.374837375091661e+001
 9    -1.274999114196415e+001    4.165079209586379e+001    3.072058208833126e+001
 10   -1.193915359321978e+001    2.954673297012622e+001    2.602381158613580e+001
 11   -1.081912033023508e+001    2.315505234897196e+001    1.931242463749080e+001
 12   -1.026856105785382e+001    1.811529169205133e+001    1.513688820288505e+001
 13   -9.502094560857406e+000    1.486218766488826e+001    1.201364034621939e+001
 14   -9.009125857524784e+000    1.222178293027926e+001    9.655960230812714e+000
 15   -8.407415093471297e+000    1.038574715982687e+001    7.937207621672442e+000
 16   -7.948461473828585e+000    8.829733700551394e+000    6.562014381770805e+000
 17   -7.431886455104655e+000    7.698151330838382e+000    5.533769724773505e+000
 18   -6.997536670531209e+000    6.703157828201787e+000    4.683090991514283e+000
 19   -6.530394120117295e+000    5.953310767205772e+000    4.031976214307162e+000
 20   -6.114372682750502e+000    5.274109099420263e+000    3.479593469797640e+000
 21   -5.678373242807869e+000    4.745823988574855e+000    3.049311667949740e+000
 22   -5.275946424023023e+000    4.255475785102878e+000    2.676771396054111e+000
 23   -4.860356559386452e+000    3.862878983510950e+000    2.382750246503742e+000
 24   -4.467414800590647e+000    3.491477359964673e+000    2.124252286005888e+000
 25   -4.065106436788820e+000    3.185570339396960e+000    1.918308771994410e+000
 26   -3.678181452348048e+000    2.891554362536082e+000    1.734682619309043e+000
 27   -3.283625077674240e+000    2.643006016685735e+000    1.587737624862077e+000
 28   -2.899238909088568e+000    2.401058313422490e+000    1.455337431235189e+000
 29   -2.507849219504894e+000    2.191407097820202e+000    1.349220493172544e+000
 30   -2.122484125902588e+000    1.985170972583606e+000    1.252881267247244e+000
 31   -1.729968586433748e+000    1.802281842288933e+000    1.175912584044458e+000
 32   -1.339962623258710e+000    1.620744774675885e+000    1.105811634868296e+000
 33   -9.419091036321370e-001    1.456188512719664e+000    1.050296204543855e+000
 34   -5.431277454500842e-001    1.291642860583176e+000    9.997644031262040e-001
 35   -1.348286539085775e-001    1.139314572322678e+000    9.605749290796112e-001
 36    2.775604108193734e-001    9.859894113058024e-001    9.251433761543618e-001
 37    7.016582318167672e-001    8.411690633232876e-001    8.988150858446560e-001
 38    1.133621544240428e+000    6.944249298237999e-001    8.754788720550795e-001
 39    1.580282545693004e+000    5.531450024010690e-001    8.596786037528239e-001
 40    2.039421509918248e+000    4.089130559577364e-001    8.465545394862035e-001
 41    2.517423487212916e+000    2.675205145120894e-001    8.397830474356125e-001
 42    3.013926096571556e+000    1.218675109835061e-001    8.357904229748278e-001
 43    3.535204722825768e+000   -2.362102072721584e-002    8.374105261933915e-001
 44    4.083290420509958e+000   -1.749171597161720e-001    8.420887003235664e-001
 45    4.664746135776284e+000   -3.291107440087730e-001    8.521377719677674e-001
 46    5.285343289032701e+000   -4.914625319370136e-001    8.659110602651234e-001
 47    5.952167687724467e+000   -6.604685877741294e-001    8.851926445155514e-001
 48    6.677607486332832e+000   -8.414303390002402e-001    9.094826415451236e-001
 49    7.469527926433038e+000   -1.034420143092741e+000    9.398941533261364e-001
 50    8.352697213154318e+000   -1.245792416203981e+000    9.776071351241024e-001
 51    9.335889949563810e+000   -1.477827226034508e+000    1.022764442505324e+000
 52    1.046889670125935e+001   -1.740294459318176e+000    1.079087450506650e+000
 53    1.176054456536063e+001   -2.038961558311636e+000    1.145033015287762e+000
 54    1.331196654168455e+001   -2.392746318909006e+000    1.228368403834167e+000
 55    1.512902558422728e+001   -2.814530966552016e+000    1.323779774809233e+000
 56    1.739820036784029e+001   -3.344558516619596e+000    1.441240388634599e+000
 57    2.014566503361762e+001   -4.022626387408366e+000    1.570939449866807e+000
 58    2.341044541643524e+001   -4.892721228954255e+000    1.678181441228450e+000
 59    2.802393145084756e+001   -6.253187249037535e+000    1.840077005515140e+000
 60    3.067132375870429e+001   -7.456768339521725e+000    1.594148716555082e+000
 61    4.759792962084755e+001   -1.258461212863713e+001    2.865904032617923e+000

 :              4                        5                        6  := 
 1     4.652577785575040e+002   -1.173363651815180e+002   -1.013720017504102e+001
 2     2.609626619688402e+002    2.144418980566424e+002    1.047190671571480e+002
 3     4.497567355284219e+003   -7.926401641774549e+002    4.650481790037395e+002
 4    -5.595538961428078e+003    2.249534846155297e+003    1.614580009236349e+002
 5     4.456615766272200e+003   -8.533110418160737e+003    4.436756332953640e+003
 6     1.618929851563256e+002    2.236792842071444e+003   -5.643750281442871e+003
 7     4.589777059220793e+002   -8.062587932840903e+002    4.426868694996071e+003
 8     9.456545793168240e+001    1.816852029608326e+002    1.417458293719924e+002
 9     9.116060231737560e+001   -1.714861376868107e+000    4.462653122173070e+002
 10    4.942585379207789e+001    5.186371437682578e+001    8.626585794062396e+001
 11    3.899156876191475e+001    3.066036663941286e+001    8.596898126080059e+001
 12    2.871027605151228e+001    2.699784560998132e+001    4.622139045848925e+001
 13    2.295519250695634e+001    2.081618631340152e+001    3.714846344521677e+001
 14    1.837486585547181e+001    1.696717027379614e+001    2.778327544095802e+001
 15    1.515746855885302e+001    1.394519866838973e+001    2.263889165100242e+001
 16    1.258695446405959e+001    1.164404227830893e+001    1.848474352731734e+001
 17    1.064641714085279e+001    9.878084204452380e+000    1.553701747614499e+001
 18    9.053046433973702e+000    8.458127332311898e+000    1.315911933089696e+001
 19    7.805358687347674e+000    7.334780825891728e+000    1.132706838300299e+001
 20    6.754908766140093e+000    6.404552209080554e+000    9.811717268486670e+000
 21    5.911605634882832e+000    5.648456908438333e+000    8.595017078282421e+000
 22    5.186503662973212e+000    5.008508753959251e+000    7.565711387763551e+000
 23    4.592926015593717e+000    4.477355172511040e+000    6.716285878444843e+000
 24    4.073711827444985e+000    4.019955325151223e+000    5.984531366746880e+000
 25    3.641927517163862e+000    3.634123250676944e+000    5.368290595361278e+000
 26    3.258118459078826e+000    3.296895147017928e+000    4.829196838486419e+000
 27    2.934693768219681e+000    3.008715925588442e+000    4.367985226110412e+000
 28    2.643285550762692e+000    2.753696190239886e+000    3.959237077002962e+000
 29    2.394734885713510e+000    2.533470970154238e+000    3.604905867566330e+000
 30    2.168057241057182e+000    2.336528391723712e+000    3.287342061629875e+000
