# random QPEC data from matlab

param n := 50   ;
param m := 60   ;
param p := 50   ;

param	 	A
	:                 1                     2                     3  :=
	1       3.642369125430452     -3.781145579633376      3.473729612179173
	2      -3.620069367950915     -2.096465793858946      2.054334257641853
	3      -3.781290673702717     -1.879994121682478      3.003990553005851
	4       2.272491450817069      -3.10627298862193     -1.847734112623065
	5       -1.26828508979337     -1.203096085742612      2.839879582697884
	6      0.6780947319625099     0.9768757347714931      3.577117661370698
	7       2.016696431219064     -2.482616781415575     0.4123066397572916
	8      0.7399713977519751     0.3412284861644279     -2.064405255364199
	9       -0.77694551374706      2.012632809634728      3.629251200380935
	10    0.04015712023668083     0.3830976817017859     -1.190411536318854
	11      1.998397677950527      2.947093498031247      3.562180379470044
	12      -1.71829233219465     -1.608828631504294     -3.508007631859037
	13     -3.963154400964952    -0.1221375361664543      3.237073854993588
	14      3.526599856546323    -0.2737060293754103     -3.039471046458917
	15    -0.8931276132917385      1.244839706832227      1.524862239267092
	16     0.5465874996262805     -3.857326619959518     -2.458225472240668
	17    -0.2867956576920316   -0.0003608503185619227       -3.8364276394807
	18      1.358193971246464      2.050173985423267      2.592207667032472
	19     -1.160857615617308      3.484271265059942      2.530062852741389
	20       1.54487515048092     -1.429625015913826      1.829904826796689
	21      3.227512278351776      3.898619546021028     -1.839133403423206
	22      1.079577004395799     0.1961562555161214     -2.792955248374454
	23     -3.122772747020684      1.139542110235501     -3.849174045618178
	24     -3.755940039896486     -3.210054152573288      1.059142661318782
	25      1.350386186326212     0.2141229004572756    -0.1940891028861511
	26     -1.749853784920567     -3.834086175052286     0.8436261855938714
	27    -0.5555396777813959     -1.100074134215321       1.00300580547441
	28     -3.966069939437312     -3.985132983234218    -0.5517726739623035
	29     -1.613863755102484    -0.9072736394979772     -3.183524239368043
	30      1.684234183247671      1.941562797831843      -3.87365087798664
	31   -0.06960382207497817       3.75785526696104      3.778392224049004
	32    -0.4761292644103516      3.984693557649014     -3.880809722267001
	33     -3.124702579318865     -3.094326603217507      2.934636326703122
	34      2.671590388376517     -1.346979722788141      3.869331075717357
	35     -3.421898649542011      1.208898188008641    0.09613035140579207
	36     0.3884790517394414     -2.387684922064174     0.4146328815477149
	37      2.025056730878691      2.304312954281061     -3.608514163180372
	38     0.5663369546870944     -1.702187895677686     -3.383813993348671
	39     -3.743612934859902     -3.668348714651362       2.61013451838318
	40      3.582261268713974      1.071255718830056      2.978854427757212
	41      3.694437656711601      2.604551369891912      2.584529250241417
	42      2.626977271915954      3.825899681269909    -0.1474559357095773
	43    -0.1495322812627569      1.803066526561082   -0.04338679290161762
	44     -3.543297544413259    -0.8155731351978388      1.654601554239377
	45     -2.373236737648271     -2.157389728116822      2.120455330690086
	46      -2.49391940792279      3.409760218422802      1.355143642837017
	47    -0.1536411147555001     0.3473441602360907    -0.5829152744879234
	48      3.713953674361304     -1.843163792293986     -1.900718652750975
	49     -1.794380529337903     -2.504041930911113     0.6745663174995844
	50     -1.115720016383175      1.305650238297804     -3.633058028385538

	:                 4                     5                     6  :=
	1      -2.637811832786785       2.70706125047641     -1.689355589527771
	2      -2.138595115228762     -3.891640065645958     -3.335123568793592
	3      -3.049267627757629       3.10347548934257      1.239799142541653
	4        1.23708689550273      2.152553321196636     -3.782317233208366
	5      -3.061967374779925      -1.17585455701055      -2.00655019636014
	6      0.1603481790123658       3.61488049372371     0.8958265254888937
	7        3.36461253957264     0.7951143488123043     -1.258282731271169
	8      -3.331494012259295      2.287051974998583      3.680240012031363
	9      -2.171519933238264     -2.347234219171228     0.1527256622973709
	10     0.4013445760090049     -3.613067044221336      0.877649025922044
	11    -0.3033061001306003      -1.89690855834901     -2.525965459664141
	12     -2.074296560268342     0.3272283488405821      3.753422708217137
	13     -1.692109160547162     -2.909201443764091    -0.8287063747148484
	14     -2.101321818301997      2.626793785734687    -0.2356654685589712
	15     -3.572361814409551      3.925512853468027      2.931266568898334
	16      2.947020288435594      1.840666127877097     0.4067823469441665
	17      1.960578102898519     -2.188033607540061     -1.279692715672307
