# data file for incid-set.mod
# Original AMPL coding by Sven Leyffer, University of Dundee

param n  := 16;
param d1 :=  4;
param d2 :=  8;

# ... discretization (element/node table, conforming triangles)
set elements :=
   (      1,      2,     18 )
   (     19,     18,      2 )
   (      2,      3,     19 )
   (     20,     19,      3 )
   (      3,      4,     20 )
   (     21,     20,      4 )
   (      4,      5,     21 )
   (     22,     21,      5 )
   (      5,      6,     22 )
   (     23,     22,      6 )
   (      6,      7,     23 )
   (     24,     23,      7 )
   (      7,      8,     24 )
   (     25,     24,      8 )
   (      8,      9,     25 )
   (     26,     25,      9 )
   (      9,     10,     26 )
   (     27,     26,     10 )
   (     10,     11,     27 )
   (     28,     27,     11 )
   (     11,     12,     28 )
   (     29,     28,     12 )
   (     12,     13,     29 )
   (     30,     29,     13 )
   (     13,     14,     30 )
   (     31,     30,     14 )
   (     14,     15,     31 )
   (     32,     31,     15 )
   (     15,     16,     32 )
   (     33,     32,     16 )
   (     16,     17,     33 )
   (     34,     33,     17 )
   (     18,     19,     35 )
   (     36,     35,     19 )
   (     19,     20,     36 )
   (     37,     36,     20 )
   (     20,     21,     37 )
   (     38,     37,     21 )
   (     21,     22,     38 )
   (     39,     38,     22 )
   (     22,     23,     39 )
   (     40,     39,     23 )
   (     23,     24,     40 )
   (     41,     40,     24 )
   (     24,     25,     41 )
   (     42,     41,     25 )
   (     25,     26,     42 )
   (     43,     42,     26 )
   (     26,     27,     43 )
   (     44,     43,     27 )
   (     27,     28,     44 )
   (     45,     44,     28 )
   (     28,     29,     45 )
   (     46,     45,     29 )
   (     29,     30,     46 )
   (     47,     46,     30 )
   (     30,     31,     47 )
   (     48,     47,     31 )
   (     31,     32,     48 )
   (     49,     48,     32 )
   (     32,     33,     49 )
   (     50,     49,     33 )
   (     33,     34,     50 )
   (     51,     50,     34 )
   (     35,     36,     52 )
   (     53,     52,     36 )
   (     36,     37,     53 )
   (     54,     53,     37 )
   (     37,     38,     54 )
   (     55,     54,     38 )
   (     38,     39,     55 )
   (     56,     55,     39 )
   (     39,     40,     56 )
   (     57,     56,     40 )
   (     40,     41,     57 )
   (     58,     57,     41 )
   (     41,     42,     58 )
   (     59,     58,     42 )
   (     42,     43,     59 )
   (     60,     59,     43 )
   (     43,     44,     60 )
   (     61,     60,     44 )
   (     44,     45,     61 )
   (     62,     61,     45 )
   (     45,     46,     62 )
   (     63,     62,     46 )
   (     46,     47,     63 )
   (     64,     63,     47 )
   (     47,     48,     64 )
   (     65,     64,     48 )
   (     48,     49,     65 )
   (     66,     65,     49 )
   (     49,     50,     66 )
   (     67,     66,     50 )
   (     50,     51,     67 )
   (     68,     67,     51 )
   (     52,     53,     69 )
   (     70,     69,     53 )
   (     53,     54,     70 )
   (     71,     70,     54 )
