# data file for pack-rig.mod
# Original AMPL coding by Sven Leyffer, University of Dundee

param n := 8;

# ... discretization (element/node table, conforming triangles)
set elements :=
    (   1,      2,     10  )
    (  11,     10,      2  )
    (   2,      3,     11  )
    (  12,     11,      3  )
    (   3,      4,     12  )
    (  13,     12,      4  )
    (   4,      5,     13  )
    (  14,     13,      5  )
    (   5,      6,     14  )
    (  15,     14,      6  )
    (   6,      7,     15  )
    (  16,     15,      7  )
    (   7,      8,     16  )
    (  17,     16,      8  )
    (   8,      9,     17  )
    (  18,     17,      9  )
    (  10,     11,     19  )
    (  20,     19,     11  )
    (  11,     12,     20  )
    (  21,     20,     12  )
    (  12,     13,     21  )
    (  22,     21,     13  )
    (  13,     14,     22  )
    (  23,     22,     14  )
    (  14,     15,     23  )
    (  24,     23,     15  )
    (  15,     16,     24  )
    (  25,     24,     16  )
    (  16,     17,     25  )
    (  26,     25,     17  )
    (  17,     18,     26  )
    (  27,     26,     18  )
    (  19,     20,     28  )
    (  29,     28,     20  )
    (  20,     21,     29  )
    (  30,     29,     21  )
    (  21,     22,     30  )
    (  31,     30,     22  )
    (  22,     23,     31  )
    (  32,     31,     23  )
    (  23,     24,     32  )
    (  33,     32,     24  )
    (  24,     25,     33  )
    (  34,     33,     25  )
    (  25,     26,     34  )
    (  35,     34,     26  )
    (  26,     27,     35  )
    (  36,     35,     27  )
    (  28,     29,     37  )
    (  38,     37,     29  )
    (  29,     30,     38  )
    (  39,     38,     30  )
    (  30,     31,     39  )
    (  40,     39,     31  )
    (  31,     32,     40  )
    (  41,     40,     32  )
    (  32,     33,     41  )
    (  42,     41,     33  )
    (  33,     34,     42  )
    (  43,     42,     34  )
    (  34,     35,     43  )
    (  44,     43,     35  )
    (  35,     36,     44  )
    (  45,     44,     36  )
    (  37,     38,     46  )
    (  47,     46,     38  )
    (  38,     39,     47  )
    (  48,     47,     39  )
    (  39,     40,     48  )
    (  49,     48,     40  )
    (  40,     41,     49  )
    (  50,     49,     41  )
    (  41,     42,     50  )
    (  51,     50,     42  )
    (  42,     43,     51  )
    (  52,     51,     43  )
    (  43,     44,     52  )
    (  53,     52,     44  )
    (  44,     45,     53  )
    (  54,     53,     45  )
    (  46,     47,     55  )
    (  56,     55,     47  )
    (  47,     48,     56  )
    (  57,     56,     48  )
    (  48,     49,     57  )
