set Nodes := A B C D E F G H I J;

set Arcs := (A,B) (B,A) (A,C) (C,A) (B,C) (C,B) (B,D) (D,B) (B,E) (E,B) (C,D) (D,C) (D,E) (E,D) (F,G) (G,F) (F,H) (H,F) (G,H) (H,G) (G,I) (I,G) (G,J) (J,G) (H,I) (I,H) (I,J) (J,I) (E,F) (F,E);

param CapCost :=
A B 112
A C 123
B C 116
B D 128
B E 130
C D 112
D E 110
B A 112
C A 123
C B 116
D B 128
E B 130
D C 112
E D 110
E F 110
F E 110
F G 112
F H 128
G H 116
G I 123
G J 130
H I 112
I J 110
G F 112
H F 128
H G 116
I G 123
J G 130
I H 112
J I 110
;

param b0Cost :=
A B 1120
A C 1230
B C 1160
B D 1280
B E 1300
C D 1120
D E 1100
B A 1120
C A 1230
C B 1160
D B 1280
E B 1300
D C 1120
E D 1100
E F 1100
F E 1100
F G 1120
F H 1280
G H 1160
G I 1230
G J 1300
H I 1120
I J 1100
G F 1120
H F 1280
H G 1160
I G 1230
J G 1300
I H 1120
J I 1100
;

param FCost:
A     B     C     D     E     F     G     H     I     J   :=
A 0.00 1120.00 615.00 2010.00 1450.00 780.00 1670.00 890.00 1890.00 2850.00
B 1120.00 0.00 1740.00 1920.00 1950.00 710.00 1540.00 830.00 2670.00 900.00
C 615.00 1740.00 0.00 560.00 1875.00 1380.00 705.00 2310.00 2505.00 2550.00
D 2010.00 1920.00 560.00 0.00 1100.00 1240.00 1380.00 710.00 1560.00 2400.00
E 1450.00 1950.00 1875.00 1100.00 0.00 1100.00 1250.00 1300.00 2175.00 1500.00
F 780.00 710.00 1380.00 1240.00 1100.00 0.00 560.00 1920.00 1340.00 2100.00
G 1670.00 1540.00 705.00 1380.00 1250.00 560.00 0.00 1740.00 1845.00 1950.00
H 890.00 830.00 2310.00 710.00 1300.00 1920.00 1740.00 0.00 1120.00 1200.00
I 1890.00 2670.00 2505.00 1560.00 2175.00 1340.00 1845.00 1120.00 0.00 1100.00
J 2850.00 900.00 2550.00 2400.00 1500.00 2100.00 1950.00 1200.00 1100.00 0.00
;

param Demand:
A     B     C     D     E     F     G     H     I     J   :=
A  0   2.77 2.91 2.83 2.99 3.05 2.90 2.71 2.74 2.85
B 2.77  0   2.79 2.90 2.96 2.47 2.85 3.38 2.61 3.21
C 2.91 2.79  0   3.24 3.03 2.43 2.91 2.63 2.66 2.57
D 2.83 2.90 3.24  0   2.73 2.67 2.93 2.40 2.99 2.37
E 2.99 2.96 3.03 2.73  0   2.72 2.59 2.96 2.81 2.71
F 3.05 2.47 2.43 2.67 2.72  0   2.86 2.64 3.01 2.65
G 2.90 2.85 2.91 2.93 2.59 2.86  0   2.82 2.95 2.41
H 2.71 3.38 2.63 2.40 2.96 2.64 2.82  0   2.25 2.78
I 2.74 2.61 2.66 2.99 2.81 3.01 2.95 2.25  0   2.65
J 2.85 3.21 2.57 2.37 2.71 2.65 2.41 2.78 2.65  0
;

param M := 170.76 ;
