param FCost:
   A     B     C     D     E     F     G     H     I     J   :=
 A 0.00 560.00 1845.00 2010.00 2175.00 1560.00 1670.00 1780.00 2835.00 950.00 
 B 560.00 0.00 1740.00 640.00 650.00 1420.00 2310.00 1660.00 890.00 900.00 
 C 1845.00 1740.00 0.00 1680.00 1250.00 2070.00 705.00 1540.00 835.00 1700.00 
 D 2010.00 640.00 1680.00 0.00 1100.00 1860.00 690.00 710.00 2340.00 1600.00 
 E 2175.00 650.00 1250.00 1100.00 0.00 1100.00 1875.00 1300.00 2175.00 1500.00 
 F 1560.00 1420.00 2070.00 1860.00 1100.00 0.00 560.00 640.00 2010.00 700.00 
 G 1670.00 2310.00 705.00 690.00 1875.00 560.00 0.00 1740.00 615.00 1950.00 
 H 1780.00 1660.00 1540.00 710.00 1300.00 640.00 1740.00 0.00 560.00 600.00 
 I 2835.00 890.00 835.00 2340.00 2175.00 2010.00 615.00 560.00 0.00 550.00 
 J 950.00 900.00 1700.00 1600.00 1500.00 700.00 1950.00 600.00 550.00 0.00 ;

param Demand:
   A     B     C     D     E     F     G     H     I     J   :=
 A  0   3.47 4.16 3.81 4.02 3.77 3.84 4.02 3.80 3.84 
 B 3.47  0   4.21 4.18 3.94 4.14 4.07 3.69 3.50 3.96 
 C 4.16 4.21  0   4.29 4.27 4.26 4.09 3.73 3.64 3.88 
 D 3.81 4.18 4.29  0   3.66 3.95 3.54 4.07 3.64 4.21 
 E 4.02 3.94 4.27 3.66  0   4.04 4.14 3.92 3.57 3.77 
 F 3.77 4.14 4.26 3.95 4.04  0   3.69 3.62 3.76 3.73 
 G 3.84 4.07 4.09 3.54 4.14 3.69  0   4.10 3.25 4.08 
 H 4.02 3.69 3.73 4.07 3.92 3.62 4.10  0   3.55 3.82 
 I 3.80 3.50 3.64 3.64 3.57 3.76 3.25 3.55  0   4.19 
 J 3.84 3.96 3.88 4.21 3.77 3.73 4.08 3.82 4.19  0  ;
