param FCost:
   A     B     C     D     E     F     G     H     I     J   :=
 A 0.00 1120.00 1230.00 1340.00 1450.00 1560.00 1670.00 890.00 1890.00 950.00 
 B 1120.00 0.00 1740.00 1920.00 650.00 2130.00 770.00 830.00 2670.00 2700.00 
 C 1230.00 1740.00 0.00 1680.00 1875.00 2070.00 2115.00 2310.00 835.00 850.00 
 D 1340.00 1920.00 1680.00 0.00 550.00 1240.00 1380.00 2130.00 2340.00 2400.00 
 E 1450.00 650.00 1875.00 550.00 0.00 1650.00 1875.00 1950.00 725.00 2250.00 
 F 1560.00 2130.00 2070.00 1240.00 1650.00 0.00 1680.00 1280.00 670.00 700.00 
 G 1670.00 770.00 2115.00 1380.00 1875.00 1680.00 0.00 580.00 615.00 1950.00 
 H 890.00 830.00 2310.00 2130.00 1950.00 1280.00 580.00 0.00 1120.00 1200.00 
 I 1890.00 2670.00 835.00 2340.00 725.00 670.00 615.00 1120.00 0.00 1100.00 
 J 950.00 2700.00 850.00 2400.00 2250.00 700.00 1950.00 1200.00 1100.00 0.00 ;

param Demand:
   A     B     C     D     E     F     G     H     I     J   :=
 A  0   3.05 3.08 3.22 3.11 3.42 2.75 3.02 3.12 2.83 
 B 3.05  0   3.35 3.12 3.07 3.29 3.28 3.03 3.09 2.83 
 C 3.08 3.35  0   2.69 2.94 3.07 3.56 3.30 2.91 2.78 
 D 3.22 3.12 2.69  0   3.26 3.20 3.26 3.28 3.08 3.06 
 E 3.11 3.07 2.94 3.26  0   3.15 3.13 2.77 2.85 2.52 
 F 3.42 3.29 3.07 3.20 3.15  0   3.26 2.56 2.98 3.12 
 G 2.75 3.28 3.56 3.26 3.13 3.26  0   2.98 2.94 3.00 
 H 3.02 3.03 3.30 3.28 2.77 2.56 2.98  0   3.42 3.27 
 I 3.12 3.09 2.91 3.08 2.85 2.98 2.94 3.42  0   2.89 
 J 2.83 2.83 2.78 3.06 2.52 3.12 3.00 3.27 2.89  0   ;
