experiment,time,sv,caf,ca,cb,cc,cd
0,18000,1.075,10008,3537.5,1077.2,1591.2,1938.7
0,18060,1.121,10002,3547.7,1186.2,1766.3,1946.9
0,18120,1.095,10005,3614.4,1009.9,1702.9,1841.8
0,18180,1.102,10007,3443.7,863.1,1666.2,1918.7
0,18240,1.105,10002,3687.1,1052.1,1501.7,1905.0
0,18300,1.084,10008,3452.7,1000.5,1512.0,2043.4
1,18360,1.159,10009,3427.8,1133.1,1481.1,1837.1
1,18420,1.432,10010,4029.8,1058.8,1213.0,1911.1
1,18480,1.413,10005,3953.1,960.1,1304.8,1754.3
1,18540,1.475,10008,4034.8,1121.2,1351.0,1992.0
1,18600,1.433,10002,4029.8,1100.6,1199.5,1713.9
1,18660,1.488,10006,3972.8,1148.0,1380.7,1992.1
1,18720,1.456,10003,4031.2,1145.2,1133.1,1812.6
2,18780,1.821,10008,4499.1,980.8,924.7,1840.9
2,18840,1.856,10005,4370.9,1000.7,833.4,1848.4
2,18900,1.846,10002,4438.6,1038.6,1042.8,1703.3
2,18960,1.852,10002,4468.4,1151.8,1119.1,1564.8
2,19020,1.865,10009,4341.6,1060.5,844.2,1974.8
2,19080,1.872,10002,4427.0,964.6,840.2,1928.5
