,k1,k2,E1,E2,obj
0,4,40,29000,38000,667.4023645794207
1,4,40,29000,38500,665.8312183437167
2,4,40,29000,39000,672.7539769993407
3,4,40,29000,39500,684.9503752463216
4,4,40,29000,40000,699.985589093255
5,4,40,29000,40500,716.1241770970677
6,4,40,29000,41000,732.2023201586336
7,4,40,29000,41500,747.4931745925483
8,4,40,29500,38000,907.4405527163311
9,4,40,29500,38500,904.2229271927299
10,4,40,29500,39000,907.6942345285257
11,4,40,29500,39500,915.4570013614677
12,4,40,29500,40000,925.65401444575
13,4,40,29500,40500,936.9348578520337
14,4,40,29500,41000,948.3759339765711
15,4,40,29500,41500,959.386491783636
16,4,40,30000,38000,1169.8685711377334
17,4,40,30000,38500,1166.2211505723928
18,4,40,30000,39000,1167.702295374574
19,4,40,30000,39500,1172.5517020611685
20,4,40,30000,40000,1179.3820406408263
21,4,40,30000,40500,1187.1698633839655
22,4,40,30000,41000,1195.2047840919602
23,4,40,30000,41500,1203.0241101248102
24,4,40,30500,38000,1445.9591944684807
25,4,40,30500,38500,1442.6632745483
26,4,40,30500,39000,1443.1982444457385
27,4,40,30500,39500,1446.2833842279929
28,4,40,30500,40000,1450.9012120934779
29,4,40,30500,40500,1456.295140290636
30,4,40,30500,41000,1461.9350767569827
31,4,40,30500,41500,1467.4715014446226
32,4,40,31000,38000,1726.8744994061449
33,4,40,31000,38500,1724.2679845375048
34,4,40,31000,39000,1724.4550886870552
35,4,40,31000,39500,1726.5124587129135
36,4,40,31000,40000,1729.7061680616455
37,4,40,31000,40500,1733.48893482641
38,4,40,31000,41000,1737.4753558920438
39,4,40,31000,41500,1741.4093763605517
40,4,40,31500,38000,2004.1978135112938
41,4,40,31500,38500,2002.2807839860222
42,4,40,31500,39000,2002.3676405166086
43,4,40,31500,39500,2003.797808439923
44,4,40,31500,40000,2006.048051591001
45,4,40,31500,40500,2008.7281679153625
46,4,40,31500,41000,2011.5626384878237
47,4,40,31500,41500,2014.3675286347284
48,4,80,29000,38000,845.8197358579285
49,4,80,29000,38500,763.5039795545781
50,4,80,29000,39000,709.8529964173656
51,4,80,29000,39500,679.4215539491266
52,4,80,29000,40000,666.4876088521157
53,4,80,29000,40500,665.978271760966
54,4,80,29000,41000,673.7240200504901
55,4,80,29000,41500,686.4763909417914
56,4,80,29500,38000,1042.519415429413
57,4,80,29500,38500,982.8097210678039
58,4,80,29500,39000,942.2990207573541
59,4,80,29500,39500,917.9550916645245
60,4,80,29500,40000,906.3116029967189
61,4,80,29500,40500,904.0326666308792
62,4,80,29500,41000,908.1964630052729
63,4,80,29500,41500,916.4222043837499
64,4,80,30000,38000,1271.1030403496538
65,4,80,30000,38500,1227.7527550544085
66,4,80,30000,39000,1197.433957624904
67,4,80,30000,39500,1178.447676126182
68,4,80,30000,40000,1168.645219243497
69,4,80,30000,40500,1165.7995210546096
70,4,80,30000,41000,1167.8586496250396
71,4,80,30000,41500,1173.0949214020527
72,4,80,30500,38000,1520.8220402652044
73,4,80,30500,38500,1489.2563260709424
74,4,80,30500,39000,1466.8099189128857
75,4,80,30500,39500,1452.4352624958806
76,4,80,30500,40000,1444.7074679423818
77,4,80,30500,40500,1442.0820578624343
78,4,80,30500,41000,1443.099006489627
79,4,80,30500,41500,1446.5106517200784
80,4,80,31000,38000,1781.149136032395
81,4,80,31000,38500,1758.2414369536502
82,4,80,31000,39000,1741.891639711003
83,4,80,31000,39500,1731.358661496594
84,4,80,31000,40000,1725.6231647999593
85,4,80,31000,40500,1723.5757174297378
86,4,80,31000,41000,1724.1680229486278
87,4,80,31000,41500,1726.5050840601884
88,4,80,31500,38000,2042.8335948845602
89,4,80,31500,38500,2026.3067503042414
90,4,80,31500,39000,2014.5720701940838
91,4,80,31500,39500,2007.0463766643977
92,4,80,31500,40000,2002.9647983728314
93,4,80,31500,40500,2001.5163951989875
94,4,80,31500,41000,2001.9474217001339
95,4,80,31500,41500,2003.6204088755821
96,4,120,29000,38000,1176.0713512305115
97,4,120,29000,38500,1016.8213383282462
98,4,120,29000,39000,886.0136231565133
99,4,120,29000,39500,789.0101180066036
100,4,120,29000,40000,724.5420056133441
101,4,120,29000,40500,686.6877602625062
102,4,120,29000,41000,668.8129085873959
103,4,120,29000,41500,665.1167761036883
104,4,120,29500,38000,1263.887274509128
105,4,120,29500,38500,1155.6528408872423
106,4,120,29500,39000,1066.393539894248
107,4,120,29500,39500,998.9931006471243
108,4,120,29500,40000,952.36314487701
109,4,120,29500,40500,923.4000293372077
110,4,120,29500,41000,908.407361383214
111,4,120,29500,41500,903.8136176328255
112,4,120,30000,38000,1421.1418235449091
113,4,120,30000,38500,1347.114022652679
114,4,120,30000,39000,1285.686103704643
115,4,120,30000,39500,1238.2456448658272
116,4,120,30000,40000,1204.3526810790904
117,4,120,30000,40500,1182.4272879027071
118,4,120,30000,41000,1170.3447810121902
119,4,120,30000,41500,1165.8422968073423
120,4,120,30500,38000,1625.5588911535713
121,4,120,30500,38500,1573.5546642859429
122,4,120,30500,39000,1530.1592840718379
123,4,120,30500,39500,1496.2087139473604
124,4,120,30500,40000,1471.525855239756
125,4,120,30500,40500,1455.2084749904016
126,4,120,30500,41000,1445.9160840082027
127,4,120,30500,41500,1442.1255377330835
128,4,120,31000,38000,1855.8467211183756
129,4,120,31000,38500,1818.4368412235558
130,4,120,31000,39000,1787.25956706785
131,4,120,31000,39500,1762.8169908546402
132,4,120,31000,40000,1744.9825741661596
133,4,120,31000,40500,1733.136625016882
134,4,120,31000,41000,1726.3352245899828
135,4,120,31000,41500,1723.492199933745
136,4,120,31500,38000,2096.6479813687533
137,4,120,31500,38500,2069.3606691038876
138,4,120,31500,39000,2046.792043575205
139,4,120,31500,39500,2029.2128703900223
140,4,120,31500,40000,2016.4664599897606
141,4,120,31500,40500,2008.054814885348
142,4,120,31500,41000,2003.2622557140814
143,4,120,31500,41500,2001.289784483679
144,7,40,29000,38000,149.32898706737052
145,7,40,29000,38500,161.04814413969586
146,7,40,29000,39000,187.87801343005242
147,7,40,29000,39500,223.00789161520424
148,7,40,29000,40000,261.66779887964003
149,7,40,29000,40500,300.676316191238
150,7,40,29000,41000,338.04021206995765
151,7,40,29000,41500,372.6191631389286
152,7,40,29500,38000,276.6495061185777
153,7,40,29500,38500,282.1304583501965
154,7,40,29500,39000,300.91417483065254
155,7,40,29500,39500,327.24304394350395
156,7,40,29500,40000,357.0561976596432
157,7,40,29500,40500,387.61662064170207
158,7,40,29500,41000,417.1836349752378
159,7,40,29500,41500,444.73705844573243
160,7,40,30000,38000,448.0380830353589
161,7,40,30000,38500,448.8094536459122
162,7,40,30000,39000,460.77530593327293
163,7,40,30000,39500,479.342874472736
164,7,40,30000,40000,501.20694459059405
165,7,40,30000,40500,524.0971649678811
166,7,40,30000,41000,546.539334134893
167,7,40,30000,41500,567.6447156158981
168,7,40,30500,38000,657.9909416906933
169,7,40,30500,38500,655.7465129488842
170,7,40,30500,39000,662.5420970804985
171,7,40,30500,39500,674.8914651553109
172,7,40,30500,40000,690.2111920703564
173,7,40,30500,40500,706.6833639709198
174,7,40,30500,41000,723.0994507096715
175,7,40,30500,41500,738.7096013891406
176,7,40,31000,38000,899.1769906655776
177,7,40,31000,38500,895.4391505892945
178,7,40,31000,39000,898.7695629120826
179,7,40,31000,39500,906.603316771593
180,7,40,31000,40000,916.9811481373996
181,7,40,31000,40500,928.4913367709245
182,7,40,31000,41000,940.1744934710283
183,7,40,31000,41500,951.4199286075984
184,7,40,31500,38000,1163.093373675207
185,7,40,31500,38500,1159.0457727559028
186,7,40,31500,39000,1160.3831770028223
187,7,40,31500,39500,1165.2451698296604
188,7,40,31500,40000,1172.1768190340001
189,7,40,31500,40500,1180.1105659428963
190,7,40,31500,41000,1188.3083929833688
191,7,40,31500,41500,1196.29112579565
192,7,80,29000,38000,514.0332369183081
193,7,80,29000,38500,329.3645784712966
194,7,80,29000,39000,215.73000998706416
195,7,80,29000,39500,162.37338399591852
196,7,80,29000,40000,149.8401793263549
197,7,80,29000,40500,162.96125998112578
198,7,80,29000,41000,191.173279165834
199,7,80,29000,41500,227.2781971491003
200,7,80,29500,38000,623.559246695578
201,7,80,29500,38500,448.60620511421484
202,7,80,29500,39000,344.21940687907573
203,7,80,29500,39500,292.9758707105001
204,7,80,29500,40000,277.07670134364804
205,7,80,29500,40500,283.5158840045542
206,7,80,29500,41000,303.33951582820265
207,7,80,29500,41500,330.43357046741954
208,7,80,30000,38000,732.5907387079073
209,7,80,30000,38500,593.1926567994672
210,7,80,30000,39000,508.5638538704666
211,7,80,30000,39500,464.47881763522037
212,7,80,30000,40000,448.0394620671692
213,7,80,30000,40500,449.64309860415494
214,7,80,30000,41000,462.4490598612332
215,7,80,30000,41500,481.6323506247537
216,7,80,30500,38000,871.1163930229344
217,7,80,30500,38500,771.1320563649375
218,7,80,30500,39000,707.8872660015606
219,7,80,30500,39500,672.6612145133173
220,7,80,30500,40000,657.4974157809264
221,7,80,30500,40500,656.0835852491216
222,7,80,30500,41000,663.6006958125331
223,7,80,30500,41500,676.460675405631
224,7,80,31000,38000,1053.1852617390061
225,7,80,31000,38500,984.3647109805877
226,7,80,31000,39000,938.6158531749268
227,7,80,31000,39500,911.4268280093535
228,7,80,31000,40000,898.333365348419
229,7,80,31000,40500,895.3996527486954
230,7,80,31000,41000,899.3556288533885
231,7,80,31000,41500,907.6180684887955
232,7,80,31500,38000,1274.2255948763498
233,7,80,31500,38500,1226.5236809533717
234,7,80,31500,39000,1193.4538731398666
235,7,80,31500,39500,1172.8105398345213
236,7,80,31500,40000,1162.0692230240734
237,7,80,31500,40500,1158.7461521476607
238,7,80,31500,41000,1160.6173577210805
239,7,80,31500,41500,1165.840315694716
240,7,120,29000,38000,1325.2409732290193
241,7,120,29000,38500,900.8063148840154
242,7,120,29000,39000,629.9300352098937
243,7,120,29000,39500,413.81648033893424
244,7,120,29000,40000,257.3116751690404
245,7,120,29000,40500,177.89217179438947
246,7,120,29000,41000,151.58366848473491
247,7,120,29000,41500,157.56967437251706
248,7,120,29500,38000,1211.2807882170853
249,7,120,29500,38500,956.936161969002
250,7,120,29500,39000,753.3050086992201
251,7,120,29500,39500,528.2452647799327
252,7,120,29500,40000,382.62610532894917
253,7,120,29500,40500,308.44199089882375
254,7,120,29500,41000,280.3893024671524
255,7,120,29500,41500,280.4028092582749
256,7,120,30000,38000,1266.5740351143413
257,7,120,30000,38500,1084.3028700477778
258,7,120,30000,39000,834.2392498526193
259,7,120,30000,39500,650.7560171314304
260,7,120,30000,40000,537.7846910878052
261,7,120,30000,40500,477.3001078155485
262,7,120,30000,41000,451.6865380286754
263,7,120,30000,41500,448.14911508024613
264,7,120,30500,38000,1319.6603196780936
265,7,120,30500,38500,1102.3027489012372
266,7,120,30500,39000,931.2523583659847
267,7,120,30500,39500,807.0833484596384
268,7,120,30500,40000,727.4852710400268
269,7,120,30500,40500,682.1437030344305
270,7,120,30500,41000,660.7859329989657
271,7,120,30500,41500,655.6001132492668
272,7,120,31000,38000,1330.5306924865326
273,7,120,31000,38500,1195.9190861202942
274,7,120,31000,39000,1086.0328080422887
275,7,120,31000,39500,1005.4160637517409
276,7,120,31000,40000,951.2021706290612
277,7,120,31000,40500,918.1457644271304
278,7,120,31000,41000,901.0511005554887
279,7,120,31000,41500,895.4599964465793
280,7,120,31500,38000,1447.8365822059013
281,7,120,31500,38500,1362.3417347939844
282,7,120,31500,39000,1292.382727215108
283,7,120,31500,39500,1239.1826828976662
284,7,120,31500,40000,1201.6474412465277
285,7,120,31500,40500,1177.5235955796813
286,7,120,31500,41000,1164.1761722345295
287,7,120,31500,41500,1158.9997785002718
288,10,40,29000,38000,33.437068437082054
289,10,40,29000,38500,58.471249815534996
290,10,40,29000,39000,101.41937628542912
291,10,40,29000,39500,153.80690200519626
292,10,40,29000,40000,209.66451461551316
293,10,40,29000,40500,265.03070792175197
294,10,40,29000,41000,317.46079310177566
