sv,caf,ca,cb,cc,cd
1.06,10010,3407.4,945.4,1717.1,1931.9
1.11,10010,3631.6,1247.2,1694.1,1960.6
1.16,10010,3645.3,971.4,1552.3,1898.8
1.21,10002,3536.2,1225.9,1351.1,1757.0
1.26,10002,3755.6,1263.8,1562.3,1952.2
1.30,10007,3598.3,1153.4,1413.4,1903.3
1.35,10007,3939.0,971.4,1416.9,1794.9
1.41,10009,4227.9,986.3,1188.7,1821.5
1.45,10001,4163.1,972.5,1085.6,1908.7
1.50,10002,3896.3,977.3,1132.9,2080.5
1.56,10004,3801.6,1040.6,1157.7,1780.0
1.60,10008,4128.4,1198.6,1150.0,1581.9
1.66,10002,4385.4,1158.7,970.0,1629.8
1.70,10007,3960.8,1194.9,1091.2,1835.5
1.76,10007,4180.8,1244.2,1034.8,1739.5
1.80,10001,4212.3,1240.7,1010.3,1739.6
1.85,10004,4200.2,1164.0,931.5,1783.7
1.90,10009,4748.6,1037.9,1065.9,1685.6
1.96,10009,4941.3,1038.5,996.0,1855.7
