Inner Bound:
  0: 229642.33336124918
  1: 225150.9816334463
  2: 230833.16216572741
  3: 230602.98963230726
  4: 229853.30643230604
  5: 229811.68003230455
  6: 229801.61976563753
  7: 229789.05869897053
  8: 229780.4482989712
  9: 229775.3826989712
  10: 229770.30856563791
  11: 229766.90749897121
  12: 229762.43896563817
  13: 229758.20749897149
  14: 229753.97603230586
  15: 229751.40536563814
  16: 229747.17389897146
  17: 229743.78936563747
  18: 229739.5578989705
  19: 229736.15683230478
  20: 229731.91683230482
  21: 229726.84803230676
  22: 229724.29283230478
  23: 229720.05283230485
  24: 229714.98403230641
  25: 229712.44536563815
  26: 229708.20536563822
  27: 229703.92243230483
  28: 229699.7509656382
  29: 229696.34136563819
  30: 229691.82136563846
  31: 229687.56723230518
  32: 229683.33576563848
  33: 229679.10429897183
  34: 229674.87283230515
  35: 229670.64136563847
  36: 229666.40989897179
  37: 229662.17843230462
  38: 229657.71496563873
  39: 229654.33309897021
  40: 229650.10163230245
  41: 229645.87016563877
  42: 229641.63869897212
  43: 229637.40723230544
  44: 229633.17576563876
  45: 229628.94429897214
  46: 229624.71283230546
  47: 229620.48136563879
  48: 229616.24989897196
  49: 229612.01843230703
  50: 229607.7869656393
  51: 229603.5554989744
  52: 229599.32403230551
  53: 229595.09256563877
  54: 229590.86109897215
  55: 229586.62963230547
  56: 229582.39816563882
  57: 229578.1666989722
  58: 229573.93523230549
  59: 229569.70376563884
  60: 229565.47229897216
  61: 229561.24083230548
  62: 229557.00936563883
  63: 229552.77789897218
  64: 229548.54643230553
  65: 229544.31496563798
  66: 229540.08349897224
  67: 229535.8520323055
  68: 229531.62056563888
  69: 229527.38909897223
  70: 229523.15763230558
  71: 229518.92616563913
  72: 229514.69469897222
  73: 229510.46323230339
  74: 229506.23176564049
  75: 229502.83069897222
  76: 229497.76883230632
  77: 229494.36776563892
  78: 229490.13629897186
  79: 229486.75443230732
  80: 229482.5229656389
  81: 229478.29149897228
  82: 229474.0600323056
  83: 229469.82856563898
  84: 229465.59709897224
  85: 229461.36563230562
  86: 229457.98376563893
  87: 229453.75229897228
  88: 229449.52083230563
  89: 229445.28936563898
  90: 229441.0578989723
  91: 229436.82643230562
  92: 229432.59496563894
  93: 229428.36349897232
  94: 229424.98163230566
  95: 229420.75016563805
  96: 229416.51869897245
  97: 229412.28723230399
  98: 229408.055765639
  99: 229403.82429897232
  100: 229399.5928323057
Outer Bound:
  Trivial: 224190.18663334011
  0: -3675849744.824451
  1: -250440171.12827343
  2: -16598114.429478716
  3: -5249215.5555743743
  4: 182386.69968012642
  5: 166486.51029843034
  6: 197585.79264720477
  7: 193986.5195811716
  8: 199688.7234377804
  9: 195822.69521119585
  10: 205097.54360589501
  11: 202019.96288880229
  12: 204732.85723102826
  13: 204734.17927811987
  14: 201963.27882522717
  15: 204733.03439260769
  16: 199210.56734405193
  17: 201954.72806335604
  18: 204735.45034778677
  19: 202442.92803210078
  20: 201967.58404650725
  21: 202335.5916849217
  22: 202441.93134413322
  23: 201961.67517727299
  24: 202338.19863388941
  25: 205218.74878632609
  26: 204740.82556452428
  27: 205051.99227246578
  28: 202452.42405083746
  29: 202423.40988861566
  30: 176303.72085304072
  31: 204689.95010046847
  32: 204689.95010015302
  33: 204690.35763539071
  34: 204688.56947382947
  35: 204687.68574029076
  36: 204688.56946900336
  37: 202418.69092349435
  38: 201916.76252466498
  39: 204688.30006755242
  40: 204688.71933826472
  41: 204688.71933538734
  42: 204688.57005014713
  43: 204687.93781629176
  44: 204687.64668857626
  45: 204691.33559650448
  46: 204687.73168563755
  47: 204691.47477401618
  48: 204693.41609246231
  49: 204690.67977137346
  50: 204690.65591425012
  51: 204688.73788355273
  52: 204690.65591366217
  53: 204688.26036892345
  54: 204687.73116881907
  55: 204688.26036926819
  56: 204688.26093579776
  57: 204688.34013580478
  58: 204688.34013555531
  59: 204688.34013530059
  60: 204692.27250162751
  61: 204688.33956839371
  62: 204688.34013523138
  63: 204688.34013554791
  64: 204688.34013401635
  65: 204688.33956722298
  66: 204688.33956619841
  67: 204688.33956578269
  68: 204688.33956569707
  69: 204690.2808852286
  70: 204692.27249936605
  71: 204690.28086572574
  72: 204694.213799196
  73: 204688.33958027276
  74: 204688.33958058315
  75: 201920.08613548812
  76: 204688.33961045148
  77: 204688.33957732038
  78: 201915.79795772216
  79: 204688.33957583978
  80: 204688.33957605064
  81: 204692.27251015778
  82: 204694.2138275216
  83: 204688.33956711832
  84: 204688.33954806835
  85: 201917.35249529593
  86: 204692.27248247023
  87: 204692.2724838889
  88: 204688.33955710533
  89: 204692.27249227121
  90: 204694.21381209212
  91: 204690.2808779311
  92: 204694.2138108653
  93: 201916.07001813347
  94: 204688.33955980744
  95: 204692.2724936399
  96: 204687.61816492322
  97: 204687.73113636632
  98: 204688.26033249483
  99: 204687.61817489075
  100: 204692.01526256808
